frequency,in_inventories,pk,unicode
0.915488533,2914,17,\u006D
0.857681433,2730,13,\u006B
0.853283066,2716,12,\u006A
0.814954445,2594,23,\u0070
0.780081684,2483,38,\u0077
0.737983035,2349,18,\u006E
0.648444863,2064,28,\u0074
0.642161483,2044,16,\u006C
0.634621426,2020,26,\u0073
0.598806158,1906,41,\u0062
0.595978637,1897,19,\u014B
0.537857367,1712,61,\u0261
0.535029846,1703,9,\u0068
0.432296576,1376,42,\u0064
0.418473139,1332,79,\u0072
0.417530631,1329,114,\u0066
0.394282124,1255,230,\u0272
0.38265787,1218,30,\u0074\u0361
0.355325165,1131,40,\u0294
0.346842601,1104,81,\u0283
0.280552937,893,102,\u007A
0.256361923,816,140,\u0076
0.243166824,774,216,\u027E
0.180961357,576,98,\u0078
0.1511153,481,160,\u0288
0.150172793,478,103,\u0292
0.136977694,436,280,\u0263
0.131322652,418,279,\u0063
0.12535344,399,186,\u0273
0.1156142,368,323,\u025F
0.112786679,359,212,\u026D
0.096135721,306,310,\u027B
0.080741439,257,157,\u0256
0.08042727,256,55,\u0071
0.066918002,213,104,\u03C7
0.062205467,198,159,\u0282
0.056236255,179,222,\u027D
0.050267044,160,329,\u00F0
0.049010368,156,132,\u0281
0.048067861,153,392,\u0278
0.046811184,149,356,\u026C
0.046182846,147,517,\u028E
0.043041156,137,290,\u00E7
0.03864279,123,335,\u03B8
0.036443607,116,849,\u0255
0.034244423,109,119,\u0266
0.028589381,91,300,\u0290
0.025447691,81,64,\u0127
0.023562677,75,239,\u006D\u0325
0.023248508,74,853,\u0291
0.022934339,73,238,\u006C\u0325
0.022306001,71,272,\u028B
0.020106817,64,298,\u0270
0.01916431,61,46,\u029D
0.01916431,61,241,\u006E\u0325
0.018850141,60,345,\u0279
0.017279296,55,144,\u0127
0.015080113,48,563,\u026E
0.014451775,46,62,\u0262
0.012252592,39,402,\u027A
0.011624254,37,220,\u03B2
0.011310085,36,249,\u0072\u0325
0.009110902,29,564,\u2C71
0.008168395,26,244,\u030A\u0272
0.005969211,19,377,\u0280
0.005655042,18,2394,\u030A\u014B
0.000628338,2,1514,\u2C71\u031F
0,0,0,\u0299\u0325
0.000628338,2,1713,\u0299
0.005655042,18,678,\u0271
0.000314169,1,1822,\u0070\u032A
0.000628338,2,1129,\u0062\u032A
0,0,0,\u028B\u0325
0.000314169,1,2395,\u006E\u033C
0.000314169,1,2396,\u0074\u033C
0,0,0,\u0064\u033C
0.000314169,1,2397,\u00F0\u033C
0,0,0,\u03B8\u033C
0,0,0,\u027E\u033C
0,0,0,\u03B8\u0331
0,0,0,\u00F0\u0331
0.000942507,3,2765,\u0279\u0325
0.002513352,8,1393,\u027E\u0325
0,0,0,\u027A\u0325
0,0,0,\u030A\u0279\u0331\u02D4
0,0,0,\u0279\u0331\u02D4
0.000314169,1,975,\u030A\u0273
0,0,0,\u027B\u02D4
0.000628338,2,3120,\u030A\u027B
0.000314169,1,2952,\u030A\u027D
0,0,0,\u030A\u027D?\u0361\u0325
0,0,0,\u027D?\u0361
0,0,0,\u030A\u026D\u02D4
0,0,0,\u026D\u02D4
0.000942507,3,974,\u030A\u026D
0.001885014,6,3176,\u0306\u026D
0,0,0,\u030A\u028E\u031D
0,0,0,\u028E\u031D
0.000314169,1,1563,\u028E\u0325
0,0,0,\u0306\u028E
0,0,0,\u030A\u0270
0,0,0,\u030A\u029F\u031D
0,0,0,\u029F\u031D
0,0,0,\u029F\u0325
0.000314169,1,1265,\u029F
0,0,0,\u0306\u029F
0.002199183,7,410,\u0274
0,0,0,\u0306\u0262
0,0,0,\u0280\u0325
0,0,0,\u029F\u0331
0.001256676,4,1423,\u02A1
0,0,0,\u0306\u02A1
0.003770028,12,2474,\u029C
0.002513352,8,2621,\u02A2
0,0,0,\u0294\u031D
